geometry,x,y
POINT (115.4233209 -33.7030801),115.42332,-33.70308
POINT (115.4236411 -33.7141079),115.42364,-33.71411
POINT (115.4187588 -33.712651),115.41876,-33.71265
POINT (115.4233609 -33.7032376),115.42336,-33.70324
POINT (115.423614 -33.7149247),115.42361,-33.71492
POINT (115.4335617 -33.7031827),115.43356,-33.70318
POINT (115.4335724 -33.7046391),115.43357,-33.70464
POINT (115.191186 -33.7483981),115.19119,-33.7484
POINT (115.1056783 -33.6986763),115.10568,-33.69868
POINT (115.100915 -33.6990844),115.10092,-33.69908
POINT (115.1512713 -33.6420555),115.15127,-33.64206
POINT (115.1508724 -33.6648562),115.15087,-33.66486
POINT (115.1612908 -33.6648853),115.16129,-33.66489
POINT (115.2739478 -33.7334581),115.27395,-33.73346
POINT (115.2158284 -33.7514644),115.21583,-33.75146
POINT (115.3262711 -33.7119637),115.32627,-33.71196
POINT (115.2440897 -33.72926),115.24409,-33.72926
POINT (115.2346114 -33.7515697),115.23461,-33.75157
POINT (115.2687008 -33.7742638),115.2687,-33.77426
POINT (115.3212617 -33.7515589),115.32126,-33.75156
POINT (115.2687611 -33.751627),115.26876,-33.75163
POINT (115.3171428 -33.7705637),115.31714,-33.77056
POINT (115.2934534 -33.7518279),115.29345,-33.75183
POINT (115.2934611 -33.7704532),115.29346,-33.77045
POINT (115.2934845 -33.7370224),115.29348,-33.73702
POINT (115.2152066 -33.7292768),115.21521,-33.72928
POINT (115.2934295 -33.7469541),115.29343,-33.74695
POINT (115.0963586 -33.6759987),115.09636,-33.676
POINT (115.1031626 -33.6802372),115.10316,-33.68024
POINT (115.106405 -33.6773648),115.1064,-33.67736
POINT (115.1017797 -33.6751747),115.10178,-33.67517
POINT (115.1102072 -33.6729611),115.11021,-33.67296
POINT (115.0944486 -33.6645887),115.09445,-33.66459
POINT (115.1031978 -33.671766),115.1032,-33.67177
POINT (115.102306 -33.6731355),115.10231,-33.67314
POINT (115.1003728 -33.6717147),115.10037,-33.67171
POINT (115.0999349 -33.6700416),115.09993,-33.67004
POINT (115.1011044 -33.6700829),115.1011,-33.67008
POINT (115.1017253 -33.671448),115.10173,-33.67145
POINT (115.1011339 -33.66868),115.10113,-33.66868
POINT (115.1022443 -33.6721243),115.10224,-33.67212
POINT (115.1057097 -33.6672591),115.10571,-33.66726
POINT (115.3503049 -33.6695648),115.3503,-33.66956
POINT (115.3772386 -33.6712633),115.37724,-33.67126
