geometry,x,y
POINT (145.1501384 -17.1186514),145.15014,-17.11865
POINT (145.1318541 -17.1169292),145.13185,-17.11693
POINT (145.17301 -17.1430224),145.17301,-17.14302
POINT (145.1737946 -17.1379383),145.17379,-17.13794
POINT (145.1968762 -17.1157744),145.19688,-17.11577
POINT (145.2093136 -17.1221764),145.20931,-17.12218
POINT (145.1915413 -17.1250601),145.19154,-17.12506
POINT (145.1980644 -17.1275439),145.19806,-17.12754
POINT (145.1997941 -17.1488952),145.19979,-17.1489
POINT (145.1977947 -17.1805556),145.19779,-17.18056
POINT (145.1753663 -17.1545087),145.17537,-17.15451
POINT (145.1806869 -17.1483653),145.18069,-17.14837
POINT (145.1422112 -17.1054837),145.14221,-17.10548
POINT (145.0798005 -17.1721944),145.0798,-17.17219
POINT (145.503271 -16.9938595),145.50327,-16.99386
POINT (145.460259 -17.068747),145.46026,-17.06875
POINT (145.5422031 -17.1972682),145.5422,-17.19727
POINT (145.5415378 -17.2044368),145.54154,-17.20444
POINT (145.5408378 -17.2120009),145.54084,-17.212
POINT (145.538456 -17.2117549),145.53846,-17.21175
POINT (145.5256279 -17.210589),145.52563,-17.21059
POINT (145.5259964 -17.2042179),145.526,-17.20422
POINT (145.5045797 -17.2359831),145.50458,-17.23598
POINT (145.4805822 -17.2462863),145.48058,-17.24629
POINT (145.5262397 -17.2033002),145.52624,-17.2033
POINT (145.5643314 -17.2228428),145.56433,-17.22284
POINT (145.5652745 -17.2290108),145.56527,-17.22901
POINT (145.5423836 -17.2339301),145.54238,-17.23393
POINT (145.4920588 -17.2258735),145.49206,-17.22587
POINT (145.4617352 -17.2325814),145.46174,-17.23258
POINT (145.4477911 -17.2333087),145.44779,-17.23331
POINT (145.4665769 -17.2449677),145.46658,-17.24497
POINT (145.4677261 -17.2330518),145.46773,-17.23305
POINT (145.4583907 -17.2443491),145.45839,-17.24435
POINT (145.3474077 -17.1917663),145.34741,-17.19177
POINT (145.5122811 -17.3428895),145.51228,-17.34289
POINT (145.5363634 -17.2332451),145.53636,-17.23325
POINT (145.5218718 -17.2241461),145.52187,-17.22415
POINT (145.5058631 -17.2273089),145.50586,-17.22731
POINT (145.5403749 -17.2413653),145.54037,-17.24137
POINT (145.3904584 -17.1090209),145.39046,-17.10902
POINT (145.2932335 -17.1554982),145.29323,-17.1555
POINT (145.4946289 -17.1662311),145.49463,-17.16623
POINT (145.3191195 -17.1628352),145.31912,-17.16284
POINT (145.5066464 -17.2157394),145.50665,-17.21574
POINT (145.4951888 -17.2169788),145.49519,-17.21698
POINT (145.5758321 -17.2937581),145.57583,-17.29376
POINT (145.3569384 -17.0621861),145.35694,-17.06219
POINT (145.4123542 -17.0241699),145.41235,-17.02417
POINT (145.4005283 -17.1371739),145.40053,-17.13717
POINT (145.4878919 -17.0003361),145.48789,-17.00034
POINT (145.4561308 -17.1899208),145.45613,-17.18992
POINT (145.4561732 -17.1893209),145.45617,-17.18932
POINT (145.4571866 -17.18995),145.45719,-17.18995
POINT (145.7113424 -16.8794125),145.71134,-16.87941
POINT (145.795659 -17.1036273),145.79566,-17.10363
POINT (145.7955998 -17.1035948),145.7956,-17.10359
POINT (145.8025783 -17.0376513),145.80258,-17.03765
POINT (145.7701773 -17.0167089),145.77018,-17.01671
POINT (145.7712598 -17.0063839),145.77126,-17.00638
POINT (145.9205765 -17.2621946),145.92058,-17.26219
POINT (145.8265652 -17.1178855),145.82657,-17.11789
POINT (145.8270556 -17.1176825),145.82706,-17.11768
POINT (145.8266866 -17.1175399),145.82669,-17.11754
POINT (145.864229 -17.139467),145.86423,-17.13947
POINT (145.9245875 -17.245878),145.92459,-17.24588
POINT (145.9352457 -17.2752551),145.93525,-17.27526
POINT (145.9345505 -17.2807709),145.93455,-17.28077
POINT (145.9254165 -17.2849149),145.92542,-17.28491
POINT (145.81938 -17.1144848),145.81938,-17.11448
POINT (145.95651 -17.3226596),145.95651,-17.32266
POINT (145.7567616 -17.0042448),145.75676,-17.00424
POINT (145.7483301 -17.0052416),145.74833,-17.00524
POINT (145.7526971 -17.0055366),145.7527,-17.00554
POINT (145.7552181 -17.0022524),145.75522,-17.00225
POINT (145.7604679 -16.9995379),145.76047,-16.99954
POINT (145.8229285 -17.0226427),145.82293,-17.02264
POINT (145.8365954 -17.0656022),145.8366,-17.0656
POINT (145.8132576 -17.0725614),145.81326,-17.07256
POINT (145.820204 -17.0588913),145.8202,-17.05889
POINT (145.8205297 -17.0849477),145.82053,-17.08495
POINT (145.8877559 -17.1579439),145.88776,-17.15794
POINT (145.9000434 -17.1711897),145.90004,-17.17119
POINT (145.9075186 -17.1883233),145.90752,-17.18832
POINT (145.9380304 -17.253527),145.93803,-17.25353
POINT (145.7618356 -17.0869152),145.76184,-17.08692
POINT (145.760314 -17.0881816),145.76031,-17.08818
POINT (145.759841 -17.088177),145.75984,-17.08818
POINT (145.7609888 -17.0869984),145.76099,-17.087
POINT (145.7613257 -17.0877887),145.76133,-17.08779
POINT (145.7605773 -17.0888091),145.76058,-17.08881
POINT (145.7615617 -17.0892091),145.76156,-17.08921
POINT (145.7379684 -17.0415789),145.73797,-17.04158
POINT (145.7402548 -17.0410243),145.74025,-17.04102
POINT (145.74026 -17.0424217),145.74026,-17.04242
POINT (145.7393329 -17.0427154),145.73933,-17.04272
POINT (145.7401241 -17.041056),145.74012,-17.04106
POINT (145.739939 -17.0411009),145.73994,-17.0411
POINT (145.7404661 -17.0417948),145.74047,-17.04179
POINT (145.7390875 -17.0419269),145.73909,-17.04193
POINT (145.740273 -17.0431514),145.74027,-17.04315
POINT (145.7396628 -17.0441015),145.73966,-17.0441
POINT (145.7405352 -17.043795),145.74054,-17.0438
POINT (145.7411662 -17.0435694),145.74117,-17.04357
POINT (145.7413698 -17.0435621),145.74137,-17.04356
POINT (145.7413265 -17.0434369),145.74133,-17.04344
POINT (145.7413424 -17.0434054),145.74134,-17.04341
POINT (145.7414651 -17.0433582),145.74147,-17.04336
POINT (145.7415556 -17.0435024),145.74156,-17.0435
POINT (145.7418475 -17.0454965),145.74185,-17.0455
POINT (145.7410998 -17.0457613),145.7411,-17.04576
POINT (145.741197 -17.0460633),145.7412,-17.04606
POINT (145.7417361 -17.0455299),145.74174,-17.04553
POINT (145.7405734 -17.0445054),145.74057,-17.04451
POINT (145.7399438 -17.0447253),145.73994,-17.04473
POINT (145.7397057 -17.0461658),145.73971,-17.04617
POINT (145.7414135 -17.0435804),145.74141,-17.04358
POINT (145.7391953 -17.0428),145.7392,-17.0428
POINT (145.9448194 -17.346564),145.94482,-17.34656
POINT (145.804613 -17.0508321),145.80461,-17.05083
POINT (145.8085789 -17.0596193),145.80858,-17.05962
POINT (145.9518827 -17.3078839),145.95188,-17.30788
POINT (145.7314466 -17.071314),145.73145,-17.07131
POINT (145.8227071 -16.9922769),145.82271,-16.99228
POINT (145.7997569 -17.0810176),145.79976,-17.08102
POINT (145.8176739 -17.0902112),145.81767,-17.09021
POINT (145.8257216 -17.0867699),145.82572,-17.08677
POINT (145.832182 -17.0873938),145.83218,-17.08739
POINT (145.8320722 -17.0942419),145.83207,-17.09424
POINT (145.745589 -17.0734838),145.74559,-17.07348
POINT (145.745206 -17.0737904),145.74521,-17.07379
POINT (145.7479244 -17.074932),145.74792,-17.07493
POINT (145.7463698 -17.0171107),145.74637,-17.01711
POINT (145.7526607 -17.0149688),145.75266,-17.01497
POINT (145.7485218 -17.0121899),145.74852,-17.01219
POINT (145.7513877 -17.0155993),145.75139,-17.0156
POINT (145.7462103 -17.0169875),145.74621,-17.01699
POINT (145.7462097 -17.016717),145.74621,-17.01672
POINT (145.7462639 -17.0136798),145.74626,-17.01368
POINT (145.7558839 -17.0122698),145.75588,-17.01227
POINT (145.9591304 -17.3392591),145.95913,-17.33926
POINT (145.7393919 -17.0544306),145.73939,-17.05443
POINT (145.732817 -17.0533402),145.73282,-17.05334
POINT (145.6973791 -17.1361358),145.69738,-17.13614
POINT (145.9724598 -17.3364372),145.97246,-17.33644
POINT (145.7675713 -17.0638864),145.76757,-17.06389
