geometry,x,y
POINT (152.3970471 -27.4970785),152.39705,-27.49708
POINT (152.396378 -27.5010444),152.39638,-27.50104
POINT (152.3869647 -27.4995427),152.38696,-27.49954
POINT (152.5204911 -27.4184959),152.52049,-27.4185
POINT (152.5102276 -27.8311843),152.51023,-27.83118
POINT (152.5472412 -27.7480989),152.54724,-27.7481
POINT (152.5613127 -27.7116957),152.56131,-27.7117
POINT (152.5479234 -27.7485834),152.54792,-27.74858
POINT (152.5573506 -27.7532539),152.55735,-27.75325
POINT (152.4808038 -27.8794694),152.4808,-27.87947
POINT (152.4865488 -27.8676142),152.48655,-27.86761
POINT (152.4632773 -27.8847324),152.46328,-27.88473
POINT (152.499084 -27.8115215),152.49908,-27.81152
POINT (152.4931741 -27.7903442),152.49317,-27.79034
POINT (152.5056897 -27.7851108),152.50569,-27.78511
POINT (152.4843241 -27.8242954),152.48432,-27.8243
POINT (152.53654 -27.7972183),152.53654,-27.79722
POINT (152.5564904 -27.7578027),152.55649,-27.7578
POINT (152.568877 -27.8017424),152.56888,-27.80174
POINT (152.5389332 -27.7638695),152.53893,-27.76387
POINT (152.5733014 -27.7601756),152.5733,-27.76018
POINT (152.5418521 -27.777231),152.54185,-27.77723
POINT (152.5424905 -27.7736036),152.54249,-27.7736
POINT (152.855597 -27.5947644),152.8556,-27.59476
POINT (152.9029964 -27.6002658),152.903,-27.60027
POINT (152.6359407 -27.4424479),152.63594,-27.44245
POINT (152.7217144 -27.7767421),152.72171,-27.77674
POINT (152.703678 -27.778649),152.70368,-27.77865
POINT (152.7074986 -27.7581967),152.7075,-27.7582
POINT (152.7098059 -27.743338),152.70981,-27.74334
POINT (152.7056185 -27.7684441),152.70562,-27.76844
POINT (152.7099264 -27.7691664),152.70993,-27.76917
POINT (152.6308186 -27.8524996),152.63082,-27.8525
POINT (152.6292906 -27.8818352),152.62929,-27.88184
POINT (152.6448045 -27.8621265),152.6448,-27.86213
POINT (152.6483129 -27.8261536),152.64831,-27.82615
POINT (152.6151148 -27.8635193),152.61511,-27.86352
POINT (152.6494609 -27.7975143),152.64946,-27.79751
POINT (152.6516497 -27.7853729),152.65165,-27.78537
POINT (152.665616 -27.7720337),152.66562,-27.77203
POINT (152.6631229 -27.7772452),152.66312,-27.77725
POINT (152.6659699 -27.7700296),152.66597,-27.77003
POINT (152.6885417 -27.8420726),152.68854,-27.84207
POINT (152.6129253 -27.9362149),152.61293,-27.93621
