geometry,x,y
POINT (149.4823328 -37.3712805),149.48233,-37.37128
POINT (149.4774686 -37.3718497),149.47747,-37.37185
POINT (149.148432 -37.2558345),149.14843,-37.25583
POINT (148.6953146 -37.3097828),148.69531,-37.30978
POINT (148.6891231 -37.3073095),148.68912,-37.30731
POINT (148.6896139 -37.3052976),148.68961,-37.3053
POINT (149.7669876 -37.2662363),149.76699,-37.26624
POINT (149.7372459 -37.2770878),149.73725,-37.27709
POINT (149.7315939 -37.3225688),149.73159,-37.32257
POINT (149.7584648 -37.2980285),149.75846,-37.29803
POINT (149.7536756 -37.2926348),149.75368,-37.29263
POINT (149.7131254 -37.2523296),149.71313,-37.25233
POINT (149.7154201 -37.2834829),149.71542,-37.28348
POINT (149.7867689 -37.3252345),149.78677,-37.32523
POINT (150.0018691 -36.5963356),150.00187,-36.59634
POINT (150.1110939 -36.2898871),150.11109,-36.28989
POINT (150.0970824 -36.2939248),150.09708,-36.29392
POINT (150.0932007 -36.295578),150.0932,-36.29558
POINT (150.1061481 -36.2566422),150.10615,-36.25664
POINT (150.1427206 -36.2534827),150.14272,-36.25348
POINT (150.1403667 -36.2484432),150.14037,-36.24844
POINT (150.1403923 -36.2488361),150.14039,-36.24884
POINT (150.1435304 -36.2440631),150.14353,-36.24406
POINT (150.0723863 -36.0241904),150.07239,-36.02419
POINT (150.0692605 -36.0295192),150.06926,-36.02952
POINT (150.079085 -36.0309421),150.07908,-36.03094
POINT (150.0600876 -36.033588),150.06009,-36.03359
POINT (150.0078812 -35.9993083),150.00788,-35.99931
POINT (150.0108402 -35.9977497),150.01084,-35.99775
POINT (150.0274435 -35.9944877),150.02744,-35.99449
POINT (149.9249901 -36.1269397),149.92499,-36.12694
POINT (149.9329294 -36.1331953),149.93293,-36.1332
POINT (149.841105 -36.1615753),149.8411,-36.16158
POINT (149.8903908 -36.1009159),149.89039,-36.10092
POINT (149.895479 -36.1023492),149.89548,-36.10235
POINT (149.8879496 -36.0505813),149.88795,-36.05058
POINT (149.9133233 -36.0658367),149.91332,-36.06584
POINT (149.995662 -36.0500033),149.99566,-36.05
POINT (149.8020894 -36.2529312),149.80209,-36.25293
POINT (149.793193 -36.2398449),149.79319,-36.23984
POINT (149.7938163 -36.2774531),149.79382,-36.27745
POINT (150.016257 -35.9058835),150.01626,-35.90588
POINT (149.9867824 -35.8402007),149.98678,-35.8402
POINT (150.0080397 -35.8131158),150.00804,-35.81312
POINT (150.0164092 -35.8495641),150.01641,-35.84956
POINT (150.0036698 -35.8061144),150.00367,-35.80611
POINT (150.0260257 -35.904454),150.02603,-35.90445
POINT (150.0066523 -35.8509178),150.00665,-35.85092
POINT (150.0121173 -35.8688973),150.01212,-35.8689
POINT (150.0041468 -35.8636322),150.00415,-35.86363
POINT (150.0058332 -35.8581104),150.00583,-35.85811
POINT (150.0242758 -35.870134),150.02428,-35.87013
POINT (150.0457947 -35.6957447),150.04579,-35.69574
POINT (150.0727272 -35.6885681),150.07273,-35.68857
POINT (150.0692081 -35.6643069),150.06921,-35.66431
POINT (150.0623611 -35.6731113),150.06236,-35.67311
POINT (150.0652009 -35.6692796),150.0652,-35.66928
POINT (150.1380529 -35.6236178),150.13805,-35.62362
POINT (149.3777128 -36.9478741),149.37771,-36.94787
POINT (149.3971673 -36.9624226),149.39717,-36.96242
POINT (149.3604785 -36.699234),149.36048,-36.69923
