geometry,x,y
POINT (149.2079752 -21.5623773),149.20798,-21.56238
POINT (149.2239913 -21.3834102),149.22399,-21.38341
POINT (149.1663826 -21.3654358),149.16638,-21.36544
POINT (149.1654526 -21.3651334),149.16545,-21.36513
POINT (149.141424 -21.1724855),149.14142,-21.17249
POINT (149.1415608 -21.1715626),149.14156,-21.17156
POINT (149.0019069 -20.9203438),149.00191,-20.92034
POINT (148.6257061 -20.5526048),148.62571,-20.5526
POINT (148.5250762 -20.3968726),148.52508,-20.39687
POINT (148.5185755 -20.4004054),148.51858,-20.40041
POINT (148.4829701 -20.3998967),148.48297,-20.3999
POINT (148.5244425 -20.4267896),148.52444,-20.42679
POINT (148.4919478 -20.417348),148.49195,-20.41735
POINT (148.5253133 -20.4197228),148.52531,-20.41972
POINT (148.5102269 -20.4079487),148.51023,-20.40795
POINT (148.4861183 -20.4197664),148.48612,-20.41977
POINT (148.4907773 -20.4277863),148.49078,-20.42779
POINT (148.465486 -20.4246198),148.46549,-20.42462
POINT (148.4734684 -20.4233954),148.47347,-20.4234
POINT (148.5998376 -20.356389),148.59984,-20.35639
POINT (148.3654332 -20.5358009),148.36543,-20.5358
POINT (148.4210108 -20.4083562),148.42101,-20.40836
POINT (148.4212457 -20.4033451),148.42125,-20.40335
POINT (148.4468087 -20.4470099),148.44681,-20.44701
POINT (148.4681091 -20.5101273),148.46811,-20.51013
POINT (148.4193569 -20.4923175),148.41936,-20.49232
POINT (148.4083253 -20.3916164),148.40833,-20.39162
POINT (148.5623261 -20.4080282),148.56233,-20.40803
POINT (148.8047806 -21.2928109),148.80478,-21.29281
POINT (148.4972554 -21.194647),148.49726,-21.19465
POINT (148.5405205 -21.272053),148.54052,-21.27205
POINT (148.5273159 -20.8173786),148.52732,-20.81738
POINT (148.5552925 -20.8310603),148.55529,-20.83106
POINT (148.4676838 -20.7630859),148.46768,-20.76309
